id,name,weight
1,price,1
2,name,0
3,vintage,0
4,MSRP,0
5,winery,0
6,region,0.5
7,varietal,0.5
8,food,0.5
9,wine type,1
10,body,0.5
11,tannin,0.5
12,quality level,0.5
13,style,0.5
14,critic score,0.5
15,image,0
16,characteristic,1
17,description,0
18,purpose,0.25
19,sku,0
20,bottle size,1
21,qoh,0
22,color,0
23,highlights,1
24,single product url,0
25,alcohol,1
26,qpr,1
27,blend,0
28,sweetness,1
29,fortified,0
30,drink from,0
31,drink to,0
32,designation,0
33,is vintage wine,0
34,date added,0
35,acidity,1
36,discount percent,0
37,popularity,0
38,flaw,0
